component,explained_variance_ratio
PC1,0.502524
PC2,0.102145
PC3,0.051072
PC4,0.031397
PC5,0.019854
PC6,0.013415
PC7,0.01096
PC8,0.008513
PC9,0.006354
PC10,0.00502
