head,s,auroc,auroc_lo,auroc_hi,n_pos
abs_contrast,,0.5256637422936794,0.4996952376940578,0.5517972682539203,913
linear,0.0,0.5123559057498539,0.4871441652005739,0.5398490578604864,913
linear,20.0,0.5144097249297899,0.48925191342490937,0.5410624848386181,913
linear,50.0,0.5162991905889014,0.49116125966133894,0.5431091170221105,913
linear,100.0,0.5178935397069708,0.4929325463316138,0.5446231217265012,913
mlp,0.0,0.5692474168305204,0.5435591713597276,0.593775609406329,913
mlp,20.0,0.5772107647957158,0.5492602830665538,0.6027644119755545,913
mlp,50.0,0.5568321278742372,0.5305491709055083,0.582460012080972,913
mlp,100.0,0.5425201752944266,0.516319358217072,0.5673780722454539,913
