donor,donor_kind,regime,tissue,auroc,auroc_lo,auroc_hi,auprc,n_pos,mag_spearman,signed_spearman
ENC-001,cross-donor,full,ALL,0.5655868431453586,0.557946799186265,0.5735655196624211,0.6340117857138207,11296,,
ENC-001,cross-donor,leak_free,ALL,0.5727213160290312,0.5497677612187608,0.595399333935205,0.601036569260624,1206,,
ENC-001,cross-donor,leak_free,Peyers_patch,0.572015570934256,0.46613130002163095,0.6667640788699057,0.6152555219445408,68,,
ENC-001,cross-donor,leak_free,adrenal_gland,0.6148915187376726,0.5241582270452416,0.7088182153306419,0.646536849451705,78,,
ENC-001,cross-donor,leak_free,body_of_pancreas,0.6664567061392458,0.6090416940584121,0.718953146026443,0.6959063554163352,189,,
ENC-001,cross-donor,leak_free,esophagus_muscularis_mucosa,0.6424000000000001,0.5273899414838399,0.7436078084415585,0.6415614109512427,50,,
ENC-001,cross-donor,leak_free,esophagus_squamous_epithelium,0.5767346938775509,0.46729819569105285,0.6726666999929183,0.6434110403792181,70,,
ENC-001,cross-donor,leak_free,gastroesophageal_sphincter,0.5699445983379501,0.43603270609318995,0.701200993642854,0.6276744904973616,38,,
ENC-001,cross-donor,leak_free,prostate_gland,0.49078508954602246,0.4129729941285964,0.5713562399640825,0.5680980445748649,98,,
ENC-001,cross-donor,leak_free,spleen,0.4896,0.3205128205128205,0.6570563827089718,0.6158879992890799,25,,
ENC-001,cross-donor,leak_free,testis,0.5670415224913494,0.4297641315383251,0.6938627655669252,0.6316590026388229,34,,
ENC-001,cross-donor,leak_free,thoracic_aorta,0.6186810252758989,0.5365319485083062,0.6916435450881256,0.6473167379941581,106,,
ENC-001,cross-donor,leak_free,tibial_artery,0.5757758724791692,0.49825823336727015,0.6567717882899401,0.6191586597377492,91,,
ENC-001,cross-donor,leak_free,tibial_nerve,0.5610207100591715,0.44828050562757416,0.675956533556819,0.5796884615598739,52,,
ENC-001,cross-donor,leak_free,transverse_colon,0.624089197515771,0.5560625945740608,0.6901670839568704,0.6419033929912125,143,,
ENC-001,cross-donor,leak_free,upper_lobe_of_left_lung,0.6540495867768594,0.5809983248763986,0.7166226858831333,0.667490674265335,110,,
ENC-002,matched,full,ALL,0.6172332145222708,0.609177074969822,0.6248420463404063,0.6859085642101606,10877,,
ENC-002,matched,leak_free,ALL,0.5967656417508335,0.5752253098793902,0.619091214778958,0.6809989232497557,1209,,
ENC-002,matched,leak_free,Peyers_patch,0.6540535241642975,0.5748810036029964,0.7410415126758622,0.7369206714104928,101,,
ENC-002,matched,leak_free,adrenal_gland,0.666209419295839,0.5802656936878934,0.7477695819132828,0.7233859667219034,81,,
ENC-002,matched,leak_free,body_of_pancreas,0.5363369040117623,0.4654677687035843,0.6082200478364861,0.6292041008898009,138,,
ENC-002,matched,leak_free,breast_epithelium,0.6572265625,0.5189864836338954,0.7850894457245262,0.7234355675474073,32,,
ENC-002,matched,leak_free,esophagus_muscularis_mucosa,0.5802154195011338,0.49007983649721165,0.6683389086599899,0.6906225292370625,84,,
ENC-002,matched,leak_free,esophagus_squamous_epithelium,0.7148222552187964,0.648484649122807,0.7853615265157176,0.7568560164781619,107,,
ENC-002,matched,leak_free,gastroesophageal_sphincter,0.41690962099125367,0.30183946488294316,0.5458580685618728,0.5660027295066341,49,,
ENC-002,matched,leak_free,prostate_gland,0.5299744897959183,0.41665843214756254,0.640635005590596,0.6506268336569531,56,,
ENC-002,matched,leak_free,sigmoid_colon,0.46258503401360546,0.3230260918888258,0.5884024648820566,0.5967740110685205,42,,
ENC-002,matched,leak_free,spleen,0.6120965093015618,0.5531348281069588,0.6731900895782202,0.6912809034127273,183,,
ENC-002,matched,leak_free,testis,0.5616,0.3784665854978355,0.7166202155332589,0.7014102167059143,25,,
ENC-002,matched,leak_free,thyroid_gland,0.728163905499461,0.6611434231337939,0.7955379033048937,0.7645386514313541,101,,
ENC-002,matched,leak_free,transverse_colon,0.5835991743291425,0.48845005209120335,0.6845313163017587,0.6712664539336832,73,,
ENC-002,matched,leak_free,upper_lobe_of_left_lung,0.5028633902540608,0.4156744099017903,0.5831964531779467,0.618365429340608,98,,
ENC-003,cross-donor,full,ALL,0.5780788633750071,0.570401947465135,0.5858458677827746,0.6414652914897755,10462,,
ENC-003,cross-donor,leak_free,ALL,0.6124111961151111,0.5884117407669839,0.6341261738457845,0.6638310081703328,1111,,
ENC-003,cross-donor,leak_free,Peyers_patch,0.6336332179930796,0.5497807417089599,0.7134339226962503,0.6859962736365458,85,,
ENC-003,cross-donor,leak_free,adrenal_gland,0.5443067033976124,0.4463613031683441,0.645720560209803,0.5939093616007953,66,,
ENC-003,cross-donor,leak_free,body_of_pancreas,0.6591836734693878,0.5677770833333333,0.7475196947571718,0.6824020932119829,70,,
ENC-003,cross-donor,leak_free,coronary_artery,0.5170132325141776,0.3947253719158201,0.6321939347462728,0.6173332525077242,46,,
ENC-003,cross-donor,leak_free,esophagus_squamous_epithelium,0.7111841051113603,0.6298222329472329,0.7906965420093663,0.6822839552227626,79,,
ENC-003,cross-donor,leak_free,gastrocnemius_medialis,0.6456599286563615,0.5403215541643721,0.7449542839972527,0.6849176677262483,58,,
ENC-003,cross-donor,leak_free,gastroesophageal_sphincter,0.5737149892274546,0.46351739865454794,0.6816088204536377,0.6486479205527123,57,,
ENC-003,cross-donor,leak_free,heart_left_ventricle,0.6024913494809688,0.5172884125941197,0.689248504999832,0.6280062958274433,85,,
ENC-003,cross-donor,leak_free,ovary,0.5252825698988697,0.39818318318318324,0.6496192385127543,0.5784762628667974,41,,
ENC-003,cross-donor,leak_free,right_lobe_of_liver,0.6371191135734071,0.5484192031926407,0.7238768232289359,0.6892079742411119,76,,
ENC-003,cross-donor,leak_free,spleen,0.6653785774664894,0.583821241448521,0.7421708937198067,0.7186492952178981,91,,
ENC-003,cross-donor,leak_free,thyroid_gland,0.6171875,0.4687224264705882,0.7527151550275282,0.6859307078730268,32,,
ENC-003,cross-donor,leak_free,tibial_nerve,0.5923125393824826,0.4965825788738075,0.6856208089855349,0.6612788512938801,69,,
ENC-003,cross-donor,leak_free,transverse_colon,0.6274059178397012,0.5300325965404838,0.7328501395872381,0.6891903136755464,59,,
