,gc_frac,cpg_oe,shannon_entropy,purine_frac,a_frac,c_frac,g_frac,t_frac,lowercase_frac,longest_homopolymer_frac,low_complexity_frac
PC1,-0.17818864927462,-0.1048371672909731,0.05917773512908697,-0.02593178789692568,0.1457108052955263,-0.15670144697295632,-0.16281614377136694,0.1801583288108065,,0.06180096934851395,-0.020529997662014687
PC2,0.029226922684639518,0.02300077817746568,0.019011307037960147,0.005160715989770747,-0.027545774215257644,0.017599644683680315,0.026917043956047094,-0.02484838730415659,,-0.029598090498480403,-0.050423607441479716
PC3,0.05882106681024906,0.02441490758495836,-0.03935723879433954,0.009445120818739662,-0.06425455471368484,0.03803359586952956,0.06268160490253269,-0.03942610441108819,,-0.007007624240912534,-0.0025710355888009296
PC4,0.0738717965378558,-0.0012748871001404087,0.00043206551834743185,0.006453389683062264,-0.06605125833220502,0.054450390503511074,0.07308395859139764,-0.06060303591437066,,-0.04375666987468,0.008571673011336224
PC5,-0.1618921910975849,-0.08594467374576722,-0.0007561736294452901,0.028186612338760002,0.1636234091024616,-0.14761419437069,-0.14087474188037138,0.12100866115901096,,0.05671540968582569,-0.0019309224980810378
